SELECT 1x,INSERT 1x,DELETE 1x,SELECT 5x,INSERT 5x,DELETE 5x,SELECT 50x,INSERT 50x,DELETE 50x,SELECT 100x,INSERT 100x,DELETE 100x
7,25,41,25,191,193,277,1953,1631,544,3973,3603
4,69,43,27,213,130,281,2039,2058,524,3836,3923
5,74,41,27,217,195,282,2099,1994,540,4265,3994
6,42,24,31,215,193,282,1823,1802,578,4057,3451
6,42,40,25,213,191,266,1884,1868,554,4269,4120
6,42,62,27,175,123,271,1935,1715,605,3691,3802
6,21,43,28,102,190,270,1803,2144,546,3758,4660
5,41,45,26,176,170,274,2152,2102,539,4096,3992
6,68,20,30,197,131,276,2343,1977,557,4380,4387
5,66,18,27,168,167,273,2237,2020,545,3922,4271
4,45,44,28,152,152,268,1867,1587,539,3690,4036
4,44,38,24,131,170,261,1624,2383,537,4266,3669
6,42,20,26,237,108,283,1950,1761,541,3987,3863
5,40,41,27,106,187,273,1975,1994,537,3513,3752
5,60,27,28,220,188,270,1931,1995,545,4179,4379
4,41,47,26,191,196,276,1949,1782,533,3971,3587
4,30,20,27,192,191,278,1995,1480,553,4097,3474
8,66,20,27,169,190,270,1695,1711,543,3582,4119
5,42,46,29,147,149,268,1656,2014,543,3693,3864
5,58,20,31,128,192,275,1840,1541,543,4010,4060
5,41,66,28,131,152,279,1991,1851,557,3902,3845
4,42,21,28,175,149,272,2358,2036,530,3479,4226
9,18,21,29,135,150,276,2105,1841,544,3840,4034
7,40,46,30,112,236,269,1906,1955,535,4010,4508
6,22,20,28,198,196,274,2102,1975,552,4119,3781
5,21,41,25,149,126,272,2406,2165,540,3756,3502
5,41,18,26,214,170,275,1656,1783,545,3839,4100
6,45,46,28,213,195,275,2037,1929,534,4206,3905
4,56,24,29,149,106,267,2033,1978,548,3988,3820
4,61,21,31,189,195,270,2276,1629,518,3839,4204
4,68,22,28,151,130,270,2046,1868,527,3862,4077
6,46,43,26,106,193,272,2124,2019,513,3713,3566
7,47,21,27,108,129,262,1889,2237,535,4297,4076
4,41,20,27,192,194,260,1800,1692,538,4183,4162
6,62,45,27,213,128,279,2000,1567,531,3688,3972
5,20,41,34,107,191,266,1739,2020,531,4250,3368
8,19,44,29,168,170,270,1973,2080,541,4185,4186
5,24,46,27,112,190,264,2039,2447,535,4080,4312
4,44,46,28,213,195,272,1915,2017,540,3777,3629
4,40,25,27,105,169,263,1908,2144,526,3690,4313
6,37,62,28,211,217,344,1942,1759,538,3538,3724
4,20,40,27,231,219,292,2142,2017,554,3796,3497
4,18,18,28,238,153,265,1566,1892,526,3734,3409
4,21,20,24,189,152,267,1635,1758,541,3264,4145
6,21,36,27,152,177,266,2060,1909,533,3735,3751
4,21,21,31,148,127,271,2339,2337,548,3645,3669
7,21,44,26,201,179,277,1800,1843,537,3669,4098
5,21,20,36,249,154,281,1863,1805,555,4267,4162
7,64,45,25,262,130,276,1939,1936,540,3839,3820
10,45,46,27,236,212,269,1713,2098,541,4379,3259
8,43,19,24,128,148,269,2248,1915,535,3960,3729
6,45,44,36,169,169,273,1928,1997,525,4378,4097
8,38,24,30,193,258,266,2298,2064,529,3644,4036
8,20,17,29,172,172,275,1915,1952,530,3668,3796
6,47,19,28,194,150,270,1799,1717,525,4095,3757
6,47,25,35,198,175,271,2019,1952,547,4266,4229
7,57,41,27,215,213,274,2015,2141,487,3392,3866
5,45,45,26,256,170,263,2169,1888,484,4036,3580
5,19,62,26,216,149,270,1912,2161,479,3926,3523
7,45,44,34,252,212,271,2121,1627,477,4485,3908
8,63,40,30,218,151,266,2319,1779,494,3950,3735
5,65,25,31,107,149,264,2016,2000,495,3971,3543
8,20,23,30,190,107,269,1996,1952,562,4226,3710
5,20,21,26,188,196,273,2449,1540,530,3647,3967
4,20,26,25,153,172,274,1627,1974,537,3865,3687
4,24,22,29,208,173,268,1758,1912,530,3708,3152
7,46,41,30,151,166,279,2106,1914,535,3647,4527
6,19,45,27,145,155,270,2333,1907,527,3992,3777
5,27,45,28,152,154,268,1888,2130,534,3813,3926
5,20,20,28,153,212,281,1928,2046,538,3714,4189
6,24,44,30,254,258,262,2232,2193,541,4699,3646
5,59,45,24,146,214,272,1653,2103,517,4250,3988
5,62,44,29,253,129,265,1998,2105,535,4695,4100
10,21,20,25,151,170,268,2209,1991,525,3772,3973
6,45,20,33,211,170,275,2296,2317,526,4013,3561
4,48,21,27,126,215,268,2125,2061,521,4206,3326
6,61,24,29,170,151,286,1973,2104,518,4056,3780
5,42,42,32,173,211,264,2172,1676,525,3953,3822
4,42,50,26,215,146,282,2169,2062,527,3991,4228
6,54,65,25,191,106,267,2035,2088,530,4374,3825
5,62,25,27,235,128,275,1626,2053,531,3799,3820
5,45,19,35,195,219,282,2122,1801,533,4099,4011
10,41,40,34,231,235,269,1955,1887,546,4678,4206
5,21,49,25,171,173,274,1845,1957,531,4314,4549
4,25,58,32,216,194,272,1966,2058,547,4316,3395
5,20,43,27,127,149,272,1843,2104,539,4462,3179
10,25,22,30,146,152,270,1756,2104,548,3968,3474
9,20,20,27,132,189,270,2104,1956,536,4137,4054
5,42,24,33,153,127,276,1937,2034,529,3651,3453
5,23,47,28,189,152,269,2274,1972,526,4211,3628
