SELECT 1x,INSERT 1x,DELETE 1x,SELECT 5x,INSERT 5x,DELETE 5x,SELECT 50x,INSERT 50x,DELETE 50x,SELECT 100x,INSERT 100x,DELETE 100x
3,20,45,18,128,178,172,1571,1761,374,2934,3245
18,45,19,20,193,255,178,1544,1912,390,3498,3843
6,43,58,49,152,190,174,1461,1840,372,3148,3991
8,19,62,18,108,192,177,1375,1847,382,3028,4525
4,22,60,17,233,216,178,1568,1799,374,3298,4117
3,21,41,21,211,251,173,1520,1776,369,3135,3883
3,41,39,17,195,148,171,1610,2122,375,3087,4211
4,21,41,30,151,190,175,1714,1523,377,3070,3647
3,45,20,21,174,216,213,1478,1978,374,3173,4290
8,63,41,18,127,212,209,1631,1948,371,2706,4159
5,25,24,16,127,213,230,1525,1739,414,3319,4375
6,20,60,19,156,234,418,1497,1956,370,3212,4015
4,19,43,18,149,103,180,1355,2016,374,3449,3909
4,28,42,16,149,257,183,1710,1784,371,2895,3755
7,41,42,18,143,215,181,1586,1817,377,3043,3669
4,37,38,18,209,169,177,1676,1973,436,3044,3928
5,22,24,18,109,192,185,1651,2127,377,2937,4099
3,45,44,18,106,145,179,1562,1886,383,2983,4183
3,63,60,17,240,171,176,1525,1781,387,3216,4137
3,17,40,16,176,107,174,1563,1841,375,3369,4205
2,20,45,18,147,218,192,1499,1847,383,3196,3859
3,19,16,23,198,196,176,1547,1955,371,3558,4165
3,25,41,18,211,190,182,1627,1865,374,3046,3820
3,43,43,20,102,200,173,1330,1755,367,3196,3735
3,46,66,18,126,140,171,1503,1955,380,3456,3968
3,62,19,16,174,239,179,1569,1905,381,3499,3957
3,20,20,16,101,240,186,1502,1846,373,3027,3930
4,21,40,24,101,150,172,1372,1822,380,3069,4031
5,21,21,16,149,127,169,1801,2097,386,2876,4271
3,37,62,30,216,219,176,1643,1994,381,3112,3992
3,26,66,32,149,236,179,1669,1913,394,3149,3432
4,20,44,16,169,237,176,1908,2062,371,3174,3605
3,42,16,16,102,258,181,1633,1979,405,3042,4160
4,20,25,16,173,214,170,1483,1843,379,3387,4058
3,20,20,22,217,194,175,1477,2020,383,3100,4227
4,20,25,18,170,151,180,1673,1912,388,3042,4270
3,18,24,19,149,236,172,1651,1954,505,3374,3862
3,39,45,16,152,236,171,1628,1904,378,3387,4312
7,43,39,18,127,256,185,1655,1932,373,3414,4141
5,20,45,19,124,258,171,1608,1805,377,3414,3947
3,32,28,17,153,164,178,1653,1774,367,3238,4041
3,19,25,16,153,214,191,1289,1992,379,3416,3707
3,20,43,16,106,177,174,1521,1913,378,3624,4033
3,16,41,17,194,207,175,1798,1929,375,3113,3883
4,26,20,17,192,111,178,1689,1626,372,3174,4181
4,20,25,17,145,155,170,1589,1715,365,3259,4031
5,23,22,17,194,190,169,1396,1757,382,3089,4034
3,44,67,25,152,215,173,1953,1846,376,3368,3877
3,42,24,17,151,157,175,1545,2036,371,2783,3714
3,21,41,19,145,238,168,1628,1847,374,3325,4093
3,22,24,17,103,148,175,1509,1481,374,3176,4482
4,24,46,15,102,216,178,1741,2209,369,3048,3924
3,36,60,17,195,194,174,1495,1954,369,3435,3884
13,41,20,16,127,256,180,1393,1781,375,3194,4331
10,21,26,23,128,213,326,1822,1891,379,3367,3776
5,42,42,17,199,107,168,1585,1694,379,3001,3925
6,23,43,16,170,152,181,1455,1926,364,3410,4293
2,26,45,19,107,167,176,1651,1947,370,3519,3927
4,47,64,18,210,149,173,1823,1673,382,2898,3881
